scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
straight,neuro_fuzzy,1,0.029346234868420158,0.005362648714577576,0.21939230003458055,0.00042770645963970805,1.4955762556219212,1.0,0.0,0.0,0.1157964793573172,0.0024382602486540303,9.877523341724077
straight,neuro_fuzzy,2,0.029346234868420158,0.005362648714577576,0.21939230003458055,0.00042770645963970805,1.4955762556219212,1.0,0.0,0.0,0.1157964793573172,0.0024382602486540303,9.877523341724077
straight,neuro_fuzzy,3,0.029346234868420158,0.005362648714577576,0.21939230003458055,0.00042770645963970805,1.4955762556219212,1.0,0.0,0.0,0.1157964793573172,0.0024382602486540303,9.877523341724077
straight,neuro_fuzzy,4,0.029346234868420158,0.005362648714577576,0.21939230003458055,0.00042770645963970805,1.4955762556219212,1.0,0.0,0.0,0.1157964793573172,0.0024382602486540303,9.877523341724077
circle,legacy_neuro_fuzzy,0,0.2594571414467622,0.2587089634061781,0.2899844193751393,0.06002937298934813,1.5,0.018,0.0,0.0,0.06459538051419707,0.009096919258451422,8.147067883161386
circle,legacy_neuro_fuzzy,1,0.2594571414467622,0.2587089634061781,0.2899844193751393,0.06002937298934813,1.5,0.018,0.0,0.0,0.06459538051419707,0.009096919258451422,8.147067883161386
circle,legacy_neuro_fuzzy,2,0.2594571414467622,0.2587089634061781,0.2899844193751393,0.06002937298934813,1.5,0.018,0.0,0.0,0.06459538051419707,0.009096919258451422,8.147067883161386
circle,legacy_neuro_fuzzy,3,0.2594571414467622,0.2587089634061781,0.2899844193751393,0.06002937298934813,1.5,0.018,0.0,0.0,0.06459538051419707,0.009096919258451422,8.147067883161386
circle,legacy_neuro_fuzzy,4,0.2594571414467622,0.2587089634061781,0.2899844193751393,0.06002937298934813,1.5,0.018,0.0,0.0,0.06459538051419707,0.009096919258451422,8.147067883161386
circle,pid,0,0.03602416634445592,0.015076836217426207,0.22157619961910813,0.006387678705974833,1.4504114318753643,1.0,0.0,0.0,0.0977176770747219,0.009310219253970152,8.727020752934736
circle,pid,1,0.03602416634445592,0.015076836217426207,0.22157619961910813,0.006387678705974833,1.4504114318753643,1.0,0.0,0.0,0.0977176770747219,0.009310219253970152,8.727020752934736
circle,pid,2,0.03602416634445592,0.015076836217426207,0.22157619961910813,0.006387678705974833,1.4504114318753643,1.0,0.0,0.0,0.0977176770747219,0.009310219253970152,8.727020752934736
circle,pid,3,0.03602416634445592,0.015076836217426207,0.22157619961910813,0.006387678705974833,1.4504114318753643,1.0,0.0,0.0,0.0977176770747219,0.009310219253970152,8.727020752934736
circle,pid,4,0.03602416634445592,0.015076836217426207,0.22157619961910813,0.006387678705974833,1.4504114318753643,1.0,0.0,0.0,0.0977176770747219,0.009310219253970152,8.727020752934736
circle,fuzzy,0,0.04451840088112707,0.028373388417963705,0.23275259654743863,0.015787010441429033,1.4786473147334318,1.0,0.0,0.0,0.0864277057109996,0.009098581494310613,8.829723528928072
circle,fuzzy,1,0.04451840088112707,0.028373388417963705,0.23275259654743863,0.015787010441429033,1.4786473147334318,1.0,0.0,0.0,0.0864277057109996,0.009098581494310613,8.829723528928072
circle,fuzzy,2,0.04451840088112707,0.028373388417963705,0.23275259654743863,0.015787010441429033,1.4786473147334318,1.0,0.0,0.0,0.0864277057109996,0.009098581494310613,8.829723528928072
circle,fuzzy,3,0.04451840088112707,0.028373388417963705,0.23275259654743863,0.015787010441429033,1.4786473147334318,1.0,0.0,0.0,0.0864277057109996,0.009098581494310613,8.829723528928072
circle,fuzzy,4,0.04451840088112707,0.028373388417963705,0.23275259654743863,0.015787010441429033,1.4786473147334318,1.0,0.0,0.0,0.0864277057109996,0.009098581494310613,8.829723528928072
circle,neuro_fuzzy,0,0.030435321852525562,0.013755989529393439,0.21866343734405214,0.00791613779725679,1.490457761233544,1.0,0.0,0.0,0.11612758529067273,0.009227418060051649,8.762868291435653
circle,neuro_fuzzy,1,0.030435321852525562,0.013755989529393439,0.21866343734405214,0.00791613779725679,1.490457761233544,1.0,0.0,0.0,0.11612758529067273,0.009227418060051649,8.762868291435653
circle,neuro_fuzzy,2,0.030435321852525562,0.013755989529393439,0.21866343734405214,0.00791613779725679,1.490457761233544,1.0,0.0,0.0,0.11612758529067273,0.009227418060051649,8.762868291435653
circle,neuro_fuzzy,3,0.030435321852525562,0.013755989529393439,0.21866343734405214,0.00791613779725679,1.490457761233544,1.0,0.0,0.0,0.11612758529067273,0.009227418060051649,8.762868291435653
