scenario,controller,seeds,distance_rmse_m_mean,distance_rmse_m_std,distance_mae_m_mean,distance_mae_m_std,max_abs_error_m_mean,max_abs_error_m_std,bearing_rmse_rad_mean,bearing_rmse_rad_std,minimum_distance_m_mean,minimum_distance_m_std,within_025m_fraction_mean,within_025m_fraction_std,close_duration_s_mean,close_duration_s_std,stale_duration_s_mean,stale_duration_s_std,command_acceleration_rms_mean,command_acceleration_rms_std,command_angular_acceleration_rms_mean,command_angular_acceleration_rms_std,command_effort_proxy_mean,command_effort_proxy_std
target_loss,pid,5,0.1166788065716616,1.5515838457795457e-17,0.0731049167608771,0.0,0.4978848528620993,6.206335383118183e-17,0.057840505224920666,7.757919228897728e-18,1.3713577150162226,0.0,0.9406666666666667,0.0,0.0,0.0,3.4560000000000004,4.965068306494546e-16,0.39987814976757,0.0,0.32671986192522906,0.0,7.868311010174308,0.0
target_loss,fuzzy,5,0.12032541169021585,0.0,0.07828814021614769,0.0,0.4899321987733007,6.206335383118183e-17,0.0705776353924748,0.0,1.400878294737916,0.0,0.9373333333333334,0.0,0.0,0.0,3.4560000000000004,4.965068306494546e-16,0.39321348204537476,0.0,0.2585993281547806,0.0,7.694747839280926,0.0
target_loss,neuro_fuzzy,5,0.10349873937601602,1.5515838457795457e-17,0.05728575114122049,0.0,0.4830540139669857,6.206335383118183e-17,0.056343194837027266,0.0,1.4290219136204005,0.0,0.9480000000000001,1.2412670766236366e-16,0.0,0.0,3.4560000000000004,4.965068306494546e-16,0.4225511922623769,6.206335383118183e-17,0.36539124631722153,0.0,7.97732995678447,9.930136612989092e-16
wheel_mismatch,legacy_neuro_fuzzy,5,0.22385729579794839,0.0,0.19562177743600176,0.0,0.40596947562788976,0.0,0.11274077029699817,0.0,1.458670030786499,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.10560531641845963,1.5515838457795457e-17,0.08592557965102328,0.0,8.64018692154502,0.0
wheel_mismatch,pid,5,0.06634356226345127,0.0,0.05241482679824337,7.757919228897728e-18,0.24727135533002054,0.0,0.07513388619607418,0.0,1.4215823616097951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13647247102361515,0.0,0.12737734048324192,0.0,10.220309583866657,0.0
wheel_mismatch,fuzzy,5,0.08830698588923971,0.0,0.06953665639922242,0.0,0.26052458930812916,0.0,0.1515774702918293,0.0,1.36451097324707,0.0,0.9893333333333333,0.0,0.0,0.0,0.0,0.0,0.12414293865843098,0.0,0.10427920709515245,1.5515838457795457e-17,10.40388729383148,0.0
wheel_mismatch,neuro_fuzzy,5,0.047596387939099025,0.0,0.0327340355901725,0.0,0.24393312167606296,0.0,0.07327070950108516,0.0,1.430647955115044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1492714336437956,0.0,0.14253866648932711,0.0,10.039289184933121,0.0
outliers,legacy_neuro_fuzzy,5,0.21174661576174997,0.001997122311631908,0.18307777251674845,0.0018378935550135219,0.39290615944590285,0.008542608593154179,0.08660128354363192,0.0011554458448911973,1.472232968473032,0.00611397213404887,0.7233333333333334,0.006599663291074444,0.0,0.0,0.128,0.0,0.7267455406734611,0.005784828908229302,2.1208080763795976,0.017159861573761856,6.791011973355674,0.023419336559794814
outliers,pid,5,0.09176684422656364,0.003394534555796014,0.06391164191864436,0.0014786569333532934,0.4231526069547053,0.023725990360666343,0.0303741158423028,0.0015264226978199261,1.341046903925321,0.010438494645199988,0.9694666666666667,0.0017888543819998333,0.0,0.0,0.256,0.0,0.5193843518056837,0.009802783115924028,0.43545873036480803,0.013500283499350021,8.023420414779192,0.027074540007706014
outliers,fuzzy,5,0.11246014215027136,0.004858205478957476,0.08498020339760291,0.0027149409476112467,0.44892076471910336,0.028235031345870715,0.043138607395815945,0.0014058650217578924,1.3417763061351529,0.005304978077910239,0.9620000000000001,0.0024494897427831956,0.0,0.0,0.256,0.0,0.4555826884926392,0.008602231597882516,0.2919261208010814,0.00731336543663091,8.123294669392532,0.021986895210808478
outliers,neuro_fuzzy,5,0.07958158315951022,0.0024249106133799087,0.05278479746005312,0.0019139869625738823,0.4032332954789255,0.012868692108256813,0.02913020621130295,0.0017555715175104178,1.395201129969499,0.004348297279864218,0.9721333333333334,0.0011925695879999054,0.0,0.0,0.256,0.0,0.5348501586579559,0.009716906930797962,0.4336025182522617,0.015443584568702763,8.070487429375197,0.04061741411067097
speed_change,legacy_neuro_fuzzy,5,0.2731394588023537,0.0,0.26237568423315955,0.0,0.3655371686731459,0.0,0.007952738333196183,0.0,1.5,0.0,0.6506666666666666,0.0,0.0,0.0,0.0,0.0,0.06300843599375243,0.0,0.010176754718897245,0.0,7.999261924882529,9.930136612989092e-16
speed_change,pid,5,0.0318550267241565,0.0,0.01933777989765546,0.0,0.13315568422577484,0.0,0.002189948581718069,0.0,1.404739096293331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09593541771245606,0.0,0.013807707031362314,0.0,8.223843323548296,0.0
speed_change,fuzzy,5,0.040565924293911926,0.0,0.020040707845701784,0.0,0.15353706588425586,0.0,0.0031928693941122564,4.84869951806108e-19,1.3960871727533308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0832251707419311,0.0,0.010588014570099663,0.0,8.221904533514204,0.0
speed_change,neuro_fuzzy,5,0.025336535078292526,3.878959614448864e-18,0.008213158434003167,0.0,0.1286056561121054,0.0,0.0021347246917391306,0.0,1.4108734572645076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10996469695874882,0.0,0.014612303711617872,1.939479807224432e-18,8.228299389150333,0.0
