scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
straight,legacy_neuro_fuzzy,0,0.2939666334427528,0.2930155753140928,0.2967622980843596,0.0004689357504898532,1.500000000027331,0.02266666666666667,0.0,0.0,0.05841949535379145,0.0028880490572492207,9.527439977484802
straight,pid,0,0.026449016994449064,0.009785821562966755,0.17121687476482061,2.6340603310926895e-07,1.4703789231580493,1.0,0.0,0.0,0.09063189505478675,1.840195199635124e-06,9.792901295000682
straight,fuzzy,0,0.0323096976902005,0.009347973700665924,0.18266895605518285,2.680089654043846e-07,1.500000000027331,1.0,0.0,0.0,0.08209523499827473,9.553699623861472e-07,9.789889948480647
straight,neuro_fuzzy,0,0.021739588195295527,0.004106106101320452,0.16815669606370043,0.00022097350230091623,1.500000000027331,1.0,0.0,0.0,0.10215692901678478,0.0011664540426519652,9.796086506421988
circle,legacy_neuro_fuzzy,0,0.25992180723725733,0.25913355030241675,0.28594289322384414,0.06616555707594117,1.500000000027331,0.023333333333333334,0.0,0.0,0.05813176312760624,0.009368656828511566,8.37582051180984
circle,pid,0,0.027460487784866518,0.011948395080043757,0.1708142299270059,0.011074147452728276,1.462738003704145,1.0,0.0,0.0,0.09071333591075072,0.009761839632462972,8.91709063879431
circle,fuzzy,0,0.036299044885610594,0.025120643189201833,0.18213254101803833,0.02932190964428744,1.47965488433788,1.0,0.0,0.0,0.08209686707903932,0.009597626224968604,9.097201151895165
circle,neuro_fuzzy,0,0.02315059600441324,0.012026162606922516,0.16780157073185054,0.01423512774676433,1.4909825564944825,1.0,0.0,0.0,0.10224565297139969,0.009577248597507701,8.955497219692166
figure_eight,legacy_neuro_fuzzy,0,0.20524093832893672,0.18086831286105307,0.35146160172560137,0.0952497912588255,1.500000000027331,0.738,0.0,0.0,0.09317651560229684,0.0668932919490388,6.775421022113826
figure_eight,pid,0,0.04216915756243041,0.03193067697672142,0.1816341737938929,0.021281996887595408,1.4259612119466996,1.0,0.0,0.0,0.1246602390292708,0.08381666258692988,7.772618034725109
figure_eight,fuzzy,0,0.06206385979049302,0.05147526872750292,0.19195376743733794,0.039264090734963376,1.404262507451072,1.0,0.0,0.0,0.11665213291113229,0.07581583086583336,8.048794205143421
